id,client_id,service_id,reg_label,assigned_to,assigned_to_name,active,frequency,processor,due_month,expected_annual,filing_state,return_type,detail,notes
a01fe927-c4a9-47e0-8b9a-c0271c66290c,9cde8b9a-efab-4eda-b7b7-165450a30ade,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
89b5ff9b-2868-4760-9d95-b1ced7df3e22,42ebfddd-d249-4708-b6c6-c75f65894adc,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
1d4abb6d-3e0d-490b-8eb6-9cce2e2fd8a4,2650e320-5fc6-40d4-a815-a08bba46eafb,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
e936f349-dd5c-4fef-98dd-4914b4f7100d,eb5bf840-7371-4c06-8012-7dbff4a6c0b2,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
44b18a04-79b7-4674-b1f9-bc0b1837c647,6e41346f-16ed-4dcf-99cb-5fbba3470d0f,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,35bf7883-f6ba-440d-9d6a-245cd0c9113a,Tushar,true,yearly,,,,,,,tax return
765f0bcc-405e-475e-ba4d-11faa8fd4926,4aa39f9c-998e-460d-b867-68f1d818e098,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,4ab9b6f4-1b9e-4823-bbb0-898a421fadc3,Sanket,true,yearly,,,,,,,tax return
ff57e149-e95f-47c2-9e19-537bafb22c7d,4aa39f9c-998e-460d-b867-68f1d818e098,8356fec1-1b5b-45df-ab57-276899df5e6e,,4ab9b6f4-1b9e-4823-bbb0-898a421fadc3,Sanket,true,quarterly,,,,,,,
c8ed35a2-ee23-46cd-8fc2-cee44689f868,ab2510f0-2425-42b9-83fc-8ca83d431c58,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,4ab9b6f4-1b9e-4823-bbb0-898a421fadc3,Sanket,true,yearly,,,,,,,tax return
9e67a533-acb5-42d8-a506-54e712c358d4,ab2510f0-2425-42b9-83fc-8ca83d431c58,8356fec1-1b5b-45df-ab57-276899df5e6e,,4ab9b6f4-1b9e-4823-bbb0-898a421fadc3,Sanket,true,monthly,,,,,,,
74a943f1-ba41-47f9-b957-6a45e5770371,8332622f-7f1f-4ad0-b644-549ee3e7961d,aaacc3a2-e67a-4acc-a6f0-6d62260466df,,653d18c7-ff9c-42a4-b2ab-b254294d25af,Lizette,true,yearly,,,,,,,tax return
